OBJECTID	Field1	X	longitude	latitude	xco2	sif757	sif771	year	month	day	date
195	30773	30773	-45.85297	-26.29685	390.773	-0.4010049	0.1737339	2015	4	16	42110
196	30774	30774	-45.85297	-26.04789	392.1041	0.6489905	0.09181194	2015	4	16	42110
197	30775	30775	-45.85297	-25.79894	392.9572	0.08732831	-0.6280442	2015	4	16	42110
198	30776	30776	-45.85297	-25.54998	392.0823	0.06327919	0.04283587	2015	4	16	42110
199	30777	30777	-45.85297	-25.30102	393.6234	0.8673264	-0.1542119	2015	4	16	42110
200	30778	30778	-45.85297	-25.05206	393.3845	0.2872081	-0.2072417	2015	4	16	42110
201	30802	30802	-45.60323	-26.29685	389.6626	-0.03441564	-0.2717953	2015	4	16	42110
202	30803	30803	-45.60323	-26.04789	390.5537	2.399034	-1.42945	2015	4	16	42110
203	30872	30872	-44.854	-23.80727	392.2138	-0.09593038	1.828097	2015	4	9	42103
204	30908	30908	-44.60425	-25.30102	392.8619	-1.444493	-2.270281	2015	4	9	42103
205	30909	30909	-44.60425	-25.05206	390.895	-1.126215	-0.6490551	2015	4	9	42103
206	30910	30910	-44.60425	-24.8031	390.8341	0.06826814	-0.3473189	2015	4	9	42103
207	30911	30911	-44.60425	-24.55414	391.8362	0.1552669	-0.2519986	2015	4	9	42103
208	30912	30912	-44.60425	-24.30518	391.0133	-1.489583	-0.4150204	2015	4	9	42103
209	30913	30913	-44.60425	-24.05622	388.5934	0.009309583	0.09034697	2015	4	9	42103
210	30939	30939	-44.35451	-26.29685	392.1265	-0.2364162	-0.2075612	2015	4	9	42103
211	30940	30940	-44.35451	-26.04789	392.9486	0.1458324	0.03937646	2015	4	9	42103
212	30941	30941	-44.35451	-25.79894	392.5617	-0.04664894	-0.07061287	2015	4	9	42103
213	30942	30942	-44.35451	-25.54998	392.3028	0.8156447	-0.2116827	2015	4	9	42103
214	30943	30943	-44.35451	-25.30102	392.4179	-0.2502775	-0.4238215	2015	4	9	42103
215	30944	30944	-44.35451	-25.05206	388.221	0.4953099	-0.4527216	2015	4	9	42103
216	30945	30945	-44.35451	-24.8031	390.6931	-0.5782657	-0.2107058	2015	4	9	42103
217	30975	30975	-44.10476	-26.04789	391.9292	-0.9210103	-0.1648761	2015	4	9	42103
218	30976	30976	-44.10476	-25.79894	391.5743	6.030923	-0.5437915	2015	4	9	42103
219	31050	31050	-43.35553	-23.55831	393.9084	8.33423	0.1531156	2015	4	18	42112
220	31051	31051	-43.35553	-23.30935	393.2725	0.5258492	-0.1237674	2015	4	18	42112
221	35267	35267	-47.10169	-24.55414	405.5296	-0.2588465	-1.3991	2015	5	16	42140
222	35436	35436	-45.85297	-23.80727	392.1037	0.04160253	-0.8832728	2015	5	9	42133
223	35462	35462	-45.60323	-23.80727	400.6948	0.2973292	0.3606907	2015	5	9	42133
225	35580	35580	-44.60425	-24.30518	394.2269	-0.7323399	-0.4588201	2015	5	27	42151
226	35581	35581	-44.60425	-23.80727	394.653	0.7039865	0.08302778	2015	5	27	42151
227	35582	35582	-44.60425	-23.55831	394.5441	0.2976153	-0.2535911	2015	5	27	42151
228	35584	35584	-44.60425	-23.06039	395.2502	0.7462162	-0.4846284	2015	5	27	42151
229	35611	35611	-44.35451	-25.54998	397.2623	-1.174971	-0.9850737	2015	5	27	42151
230	35612	35612	-44.35451	-25.05206	390.5734	0.06731139	-0.03934374	2015	5	27	42151
231	35613	35613	-44.35451	-24.8031	394.9385	0.0641273	-0.5829846	2015	5	27	42151
232	35614	35614	-44.35451	-24.55414	395.2436	0.2439917	-0.4302781	2015	5	27	42151
233	35615	35615	-44.35451	-24.30518	394.3547	-0.3717173	1.179957	2015	5	27	42151
234	35616	35616	-44.35451	-23.80727	394.3188	-0.135141	0.5863984	2015	5	27	42151
235	35630	35630	-44.10476	-26.04789	394.2049	-1.176566	-0.5276191	2015	5	27	42151
236	35631	35631	-44.10476	-25.79894	395.051	0.1763822	0.1560185	2015	5	27	42151
237	35632	35632	-44.10476	-25.54998	396.9161	0.610348	0.1814646	2015	5	27	42151
238	41766	41766	-47.35143	-25.79894	395.8912	0.32034	0.2994947	2015	6	26	42181
239	41767	41767	-47.35143	-25.30102	394.1433	0.1122528	-0.7881759	2015	6	26	42181
240	41768	41768	-47.35143	-25.05206	392.8694	1.228104	0.1260311	2015	6	26	42181
241	41769	41769	-47.35143	-24.8031	392.4255	0.1017924	-0.8780581	2015	6	26	42181
242	41807	41807	-47.10169	-26.79477	394.0036	-2.253868	0.2808515	2015	6	26	42181
243	41808	41808	-47.10169	-26.54581	393.8117	-0.1556185	-0.8134716	2015	6	26	42181
244	41809	41809	-47.10169	-26.29685	393.9798	0.4920508	0.1222991	2015	6	26	42181
245	41810	41810	-47.10169	-26.04789	394.2899	-2.789212	-0.3212684	2015	6	26	42181
246	41811	41811	-47.10169	-25.79894	395.043	0.06430469	0.000921726	2015	6	26	42181
247	41812	41812	-47.10169	-25.54998	393.0931	-0.2814377	0.05011718	2015	6	26	42181
248	41813	41813	-47.10169	-25.30102	393.6752	2.112529	0.1182706	2015	6	26	42181
249	41814	41814	-47.10169	-25.05206	394.6163	-0.9466557	-1.282855	2015	6	26	42181
250	41863	41863	-46.85195	-26.79477	394.2014	0.4400752	0.06063865	2015	6	26	42181
251	41864	41864	-46.85195	-26.54581	393.6025	0.8367687	-0.4600748	2015	6	26	42181
252	42015	42015	-46.10272	-24.55414	395.9706	-1.108959	0.014831	2015	6	3	42158
253	42016	42016	-46.10272	-24.30518	395.7567	0.5881901	-0.1368666	2015	6	3	42158
254	42017	42017	-46.10272	-24.05622	395.6338	0.174907	-0.07240918	2015	6	3	42158
255	42069	42069	-45.85297	-25.79894	392.8179	0.8895473	-0.08185266	2015	6	3	42158
256	42070	42070	-45.85297	-25.54998	393.202	-0.009388148	-0.2827684	2015	6	3	42158
257	42071	42071	-45.85297	-25.30102	393.7961	0.2359756	0.0625058	2015	6	3	42158
258	42072	42072	-45.85297	-25.05206	394.5652	0.03762229	-0.8207268	2015	6	3	42158
259	42073	42073	-45.85297	-24.8031	395.3093	0.04805047	-0.2766236	2015	6	3	42158
